,date,readable_url,school_year,url
37,2017-06-21,"https://nycdoe.sharepoint.com/sites/PEPArchive/Shared Documents/Forms/AllItems.aspx?id=/sites/PEPArchive/Shared Documents/PEP/2016-2017/June 21, 2017&p=true",2016-2017,https://nycdoe.sharepoint.com/:f:/s/PEPArchive/EmplG-SlYcZImgrHYV0WvMsBKq3RlZF9yw0Wv-Av3b4R1A?e=1nD7fh
38,2017-04-19,"https://nycdoe.sharepoint.com/sites/PEPArchive/Shared Documents/Forms/AllItems.aspx?id=/sites/PEPArchive/Shared Documents/PEP/2016-2017/April 19, 2017&p=true",2016-2017,https://nycdoe.sharepoint.com/:f:/s/PEPArchive/Et5SoIhAqVNGrVsDRVmkUGIBLP-4U-4lGp3KjXu2XuEFNA?e=ZfpEYu
39,2017-03-22,"https://nycdoe.sharepoint.com/sites/PEPArchive/Shared Documents/Forms/AllItems.aspx?id=/sites/PEPArchive/Shared Documents/PEP/2016-2017/March 22, 2017&p=true",2016-2017,https://nycdoe.sharepoint.com/:f:/s/PEPArchive/EkJ2S5jvfz1CrT8pRNOwhtYBw1XWiQ6RnVJGwsG6mJl2ZQ?e=ax5gb9
40,2017-02-28,"https://nycdoe.sharepoint.com/sites/PEPArchive/Shared Documents/Forms/AllItems.aspx?id=/sites/PEPArchive/Shared Documents/PEP/2016-2017/February 28, 2017&p=true",2016-2017,https://nycdoe.sharepoint.com/:f:/s/PEPArchive/EsmS3kbUU4JCl6k3gWRXq50BR931NxVDP-9MBTlT39yuuA?e=1IZHAt
41,2017-01-17,https://nycdoe.sharepoint.com/sites/PEPArchive/Shared Documents/Forms/AllItems.aspx?id=/sites/PEPArchive/Shared Documents/PEP/2016-2017/January 2017&p=true,2016-2017,https://nycdoe.sharepoint.com/:f:/s/PEPArchive/EmH_dnHLa8tMgBKKQf59kB0BKwRidPEc9iVKiAis87EMbA?e=wNjscU
42,2016-12-21,"https://nycdoe.sharepoint.com/sites/PEPArchive/Shared Documents/Forms/AllItems.aspx?id=/sites/PEPArchive/Shared Documents/PEP/2016-2017/December 21, 2016&p=true",2016-2017,https://nycdoe.sharepoint.com/:f:/s/PEPArchive/Eoi7uGhbcJJNofpgJ6drK18BnUl5d2KSFUOksGJ3Z9cMRg?e=BclORZ
43,2016-11-16,"https://nycdoe.sharepoint.com/sites/PEPArchive/Shared Documents/Forms/AllItems.aspx?id=/sites/PEPArchive/Shared Documents/PEP/2016-2017/November 16, 2016&p=true",2016-2017,https://nycdoe.sharepoint.com/:f:/s/PEPArchive/ElDqiFiVm5RPiVwjU6dim_4ByyVHtsK64jwBLay4k85nGQ?e=ZPc3Zd
44,2016-10-19,"https://nycdoe.sharepoint.com/sites/PEPArchive/Shared Documents/Forms/AllItems.aspx?id=/sites/PEPArchive/Shared Documents/PEP/2016-2017/October 19, 2016&p=true",2016-2017,https://nycdoe.sharepoint.com/:f:/s/PEPArchive/Ei_6Yq00chFAiKDNwZP362sB8wYQqkK2yxzdVDN8S7kcog?e=N4xAgr
45,2016-09-21,"https://nycdoe.sharepoint.com/sites/PEPArchive/Shared Documents/Forms/AllItems.aspx?id=/sites/PEPArchive/Shared Documents/PEP/2016-2017/September 21, 2016&p=true",2016-2017,https://nycdoe.sharepoint.com/:f:/s/PEPArchive/EgeUCceYJhpCh8osd8cj0T8BHcddXOwPZjdyEt7BzDpCkg?e=Pjh1JG
46,,https://nycdoe.sharepoint.com/sites/PEPArchive/Shared Documents/Forms/AllItems.aspx?id=/sites/PEPArchive/Shared Documents/PEP/2015-2016&p=true,2015-2016,https://nycdoe.sharepoint.com/:f:/s/PEPArchive/EkyMPAWycVdKleE6IXsxe-0BJ-6omfH4qZZpFigC81x0XQ?e=hBSEZH
